 17:04:19 up  7:24,  1 user,  load average: 1,08, 1,81, 1,93
 17:05:19 up  7:25,  1 user,  load average: 1,06, 1,68, 1,88
 17:06:19 up  7:26,  1 user,  load average: 1,09, 1,58, 1,83
 17:07:19 up  7:27,  1 user,  load average: 1,03, 1,47, 1,77
 17:08:19 up  7:28,  1 user,  load average: 1,12, 1,43, 1,74
 17:09:19 up  7:29,  1 user,  load average: 1,04, 1,35, 1,69
 17:10:19 up  7:30,  1 user,  load average: 1,01, 1,28, 1,64
 17:11:19 up  7:31,  1 user,  load average: 0,96, 1,21, 1,60
 17:12:19 up  7:32,  1 user,  load average: 0,99, 1,17, 1,56
 17:13:19 up  7:33,  1 user,  load average: 1,10, 1,17, 1,53
 17:14:19 up  7:34,  1 user,  load average: 1,04, 1,13, 1,49
 17:15:19 up  7:35,  1 user,  load average: 1,01, 1,11, 1,46
 17:16:19 up  7:36,  1 user,  load average: 1,00, 1,08, 1,43
 17:17:19 up  7:37,  1 user,  load average: 1,00, 1,07, 1,40
 17:18:19 up  7:38,  1 user,  load average: 1,00, 1,05, 1,37
 17:19:19 up  7:39,  1 user,  load average: 1,00, 1,04, 1,35
 17:20:19 up  7:40,  1 user,  load average: 1,09, 1,06, 1,33
 17:21:19 up  7:41,  1 user,  load average: 1,06, 1,06, 1,32
 17:22:19 up  7:42,  1 user,  load average: 1,08, 1,06, 1,30
 17:23:19 up  7:43,  1 user,  load average: 1,09, 1,07, 1,28
 17:24:19 up  7:44,  1 user,  load average: 1,09, 1,07, 1,27
 17:25:19 up  7:45,  1 user,  load average: 1,10, 1,07, 1,26
 17:26:19 up  7:46,  1 user,  load average: 1,03, 1,05, 1,24
 17:27:19 up  7:47,  1 user,  load average: 1,01, 1,04, 1,22
 17:28:19 up  7:48,  1 user,  load average: 1,00, 1,03, 1,20
 17:29:19 up  7:49,  1 user,  load average: 1,08, 1,04, 1,19
 17:30:19 up  7:50,  1 user,  load average: 1,08, 1,05, 1,18
 17:31:19 up  7:51,  1 user,  load average: 1,03, 1,03, 1,17
 17:32:19 up  7:52,  1 user,  load average: 1,05, 1,04, 1,16
 17:33:19 up  7:53,  1 user,  load average: 1,02, 1,03, 1,15
 17:34:19 up  7:54,  1 user,  load average: 1,00, 1,02, 1,14
